,NZ_USE_IMPORTANT_IMPROVEMENT_CMT,NZ_USE_QUERY_TOPIC_ALT,NZ_USE_QUERY_TOPIC_OTHER_TXT,NZ_CHANGE_IMPORTANT_IMPROVEMENT_CMT,NZ_CHANGE_OVERALL_SATISFACTION_REASON_CMT,NZ_JOIN_GENERAL_SATISFACTION_REASON_CMT,NZ_JOIN_IMPORTANT_IMPROVEMENT_CMT,NZ_RELATIONSHIP_IMPORTANT_IMPROVEMENT_CMT,NZ_RELATIONSHIP_NPS_REASON_CMT,NZ_USE_CSAT_REASON_CMT,NZ_USE_IMPORTANT_IMPROVEMENT_CMT
0,,,,,,,,"Internet as I mentioned, pretty laggy","Amazing service just little laggy with the internet could do better.

Overall no problem",,
1,,,,,,,,,,,
2,,,,,,,,,,,
3,,,,,,,,,,,
4,,,,,,,,Better value fibre,,,
5,,,,,,,,,,,
6,,,,,,,,,,,
7,,,,,,,,,,,
8,,,,,,,,,,,
9,,,,,,,,,,,
10,,,,,,,,,,,
11,,,,,,,,,,,
12,,,,,,,,Communication with customers before you merge with a spy network.,Your merger with the spies with no consultation with your customers.,,
13,,,,,,,,,,,
14,,,,,,,,,,,
15,,,,,,,,,,,
16,,,,,,,,,,,
17,,,,,,,,,,,
18,,,,,,,,,,,
19,,,,,,,,,I’ve been with you for a number of years and have three broadband accounts and two phones and in that time I have found you to be very approachable when trying to set up a new device and generally you don’t have a long wait time when calling,,
20,,,,,,,,,,,
21,,,,,,,,,,,
22,,,,,,,,,,,
23,,,,,,,,I can't think of anything,"Good service, no issues",,
24,,,,,,,,,,,
25,,,,,,,,,,,
26,,,,,,,,,,,
27,,,,,,,,,,,
28,,,,,,,,Rural internet,Great service,,
29,,,,,,,,I guess just the faster the internet the better. More coverage too but that's coming next year. Basically any way of bringing down the cost is appreciated right now because its so expensive. it's also awesome if you sponsored more stuff for the arts in aotearoa.,It has good service across the country. better than other networks that's for sure. often my phone is the only one that gets service and that's awesome. love the movie tickets as part of rewards too. also excited for coverage everywhere next year. like the new name too. thanks,,
30,,,,,,,,,,,
31,,,,,,,,,,,
32,,,,,,,,,,,
33,,,,,,,,,,,
34,,,,,,,,,,,
35,,,,,,,,,,,
36,,,,,,,,.,.,,
37,,,,,,,,,,,
38,,,,,,,,,,,
39,,,,,,,,,,,
40,,,,,,,,,,,
41,,,,,,,,,,,
42,,,,,,,,,,,
43,,,,,,,,,,,
44,,,,,,,,Cheaper monthly plans when buying a new phone,The easy process of being able to purchase a new phone,,
45,,,,,,,,,,,
46,,,,,,,,Coverage and customer service.,Just going off personal contact I've had in your shops.,,
47,,,,,,,,,,,
48,,,,,,,,,,,
49,,,,,,,,,,,
50,,,,,,,,"Clearer information on plans and billing, how to choose the best international mobile plan and how to improve my fibre/TV reception.",I have found that getting clear information on billing and broadband service a bit challenging.,,
51,,,,,,,,Move your call centre back to NZ and train the staff better,"Pricing is reasonable, especially HFC, however the customer service is below what I expect. In the past 6 months I've had incorrect advice from an instore team member and spent hours on the phone with the call centre trying to get someone to understand my request (which admittedly was probably not a request they come across often). 

The English comprehension of the call centre staff I have dealt with is appalling. In 2021 it was announced the One (then Vodafone) call centre would be 'largely based in New Zealand by the end of the year'. I haven't once spoken to a call centre staff member in New Zealand, and, when requested, they have not been able to transfer me to a NZ based staff member. I would rather pay slightly more and have a NZ based call centre with One staff rather than generic call centre staff overseas who may not be employed under conditions that meet NZ minimum standards.",,
52,,,,,,,,,,,
53,,,,,,,,,,,
54,,,,,,,,"treat your customers with respect, appreciate their custom, listen to issues and deal with them in realistic meaningful ways. make it easier to actually talk to someone to problem solve, just like learning something new, different people require different methods of communicating.","had years of bad experiences, only still there due to phones on payment plan",,
55,,,,,,,,,,,
56,,,,,,,,,,,
57,,,,,,,,,,,
58,,,,,,,,,,,
59,,,,,,,,,,,
60,,,,,,,,More discounts and rewards would be nice,I've been with one for years. Never had a problem with it.,,
61,,,,,,,,,,,
62,,,,,,,,No need for so many reminders about paying bills on time especially in the current economic statues,,,
63,,,,,,,,,,,
64,,,,,,,,,,,
65,,,,,,,,,,,
66,,,,,,,,,,,
67,,,,,,,,,,,
68,,,,,,,,,,,
69,,,,,,,,,,,
70,,,,,,,,,,,
71,,,,,,,,,,,
72,,,,,,,,,,,
73,,,,,,,,"Customer service and experience, better communication between technical departments and more cohesive notes taken after calls and emails between service agents. 

I have been waiting 5 days for my internet to be rectified after being assured 6 times over phone or email that it should be working. 

I will most likely be terminating my broadband and both phones with One NZ as a result of this. Been a customer for 22 years.",Terrible customer service and experience with moving Broadband this week. Still not resolved after multiple phone calls and emails.,,
74,,,,,,,,,,,
75,,,,,,,,,,,
76,,,,,,,,Don't really know,I have had no problems.,,
77,,,,,,,,,,,
78,,,,,,,,,,,
79,,,,,,,,,,,
80,,,,,,,,,,,
81,,,,,,,,,,,
82,,,,,,,,,,,
83,,,,,,,,,,,
84,,,,,,,,,,,
85,,,,,,,,,,,
86,,,,,,,,"Some coverage dead spots still were people with other providers have coverage, for example in the lake Hawea area.
I am looking forward to the 100% text coverage which will be good to have for outdoor adventures and checking in.","No complaints, but not the sort of thing I would typically recommend",,
87,,,,,,,,,,,
88,,,,,,,,,,,
89,,,,,,,,Clear information on the porting process and what to expect during the transfer. The staff Peter (I may have the name incorrect) gave clear expectations for our numbers to be active on Monday morning but may not have been aware of any effects on the 2fa one time code system. as I changed mobile device as well as provides plus going from e sim to micro sim the transition had a lot of hiccups and delays during the transition. the staff member may not have been aware of this information. as when looking online I could not find a definitive answer about this but heaps of people experience this issue porting numbers. More clear information or follow up email with the ins and outs and what to expect when porting a number. I also feel this is not just a One NZ thing to improve. I had similar issues when changing to 2 Degrees. so industry information that should be clearer for all.,"Really great experience in the Riccarton store completing the sign up/switch to One NZ, I did have a few issues with my number porting from 2 degrees to One, none of the request 2FA codes I would request for signing into my accounts on my new device would come through for the first 48 hours",,
90,,,,,,,,,,,
91,,,,,,,,,,,
92,,,,,,,,,,,
93,,,,,,,,,,,
94,,,,,,,,,,,
95,,,,,,,,,,,
96,,,,,,,,,,,
97,,,,,,,,Perhaps make the broadband modem able to use anywhere instead of just at home.I have a motor home and would like to have broadband when I travel.,I have not had any problems or issues with my plan and I travel all over NZ,,
98,,,,,,,,,,,
99,,,,,,,,Staff escalating issues if they don’t know how to help rather than telling customers to sort themselves and the bills are very confusing and hard to read and understand especially on a mobile phone,Have been a customer for many years but more recently I have had a couple of issues and have for the first time felt like a number more than a respected loyal customer,,
100,,,,,,,,,,,
101,,,,,,,,,,,
102,,,,,,,,,,,
103,,,,,,,,,,,
104,,,,,,,,,,,
105,,,,,,,,,,,
106,,,,,,,,,,,
107,,,,,,,,,,,
108,,,,,,,,,,,
109,,,,,,,,,,,
110,,,,,,,,"Your website and 0800 number.  It is not helpful to have to speak to someone in India who advises they are unable to help with the problem, and when requesting that I be transferred back to Auckland, am advised that they cannot do that as they are a sub contractor, and do not have the facilities to transfer to back to Auckland. Your website is abysmal.","Am a little disappointed in One NZ, as am finding neither the website nor the 0800 number very helpful and therefore having difficulties resolving issues. Am v disappointed having been with the company right from Bell South days.",,
111,,,,,,,,,,,
112,,,,,,,,,,,
113,,,,,,,,,,,
114,,,,,,,,,,,
115,,,,,,,,"I don’t know, but I’ll get back to you if I think of anything.",The app is easy as to use. I like the unlimited data and minutes. One Nz communication is brilliant and I love the ads when you read the tweets or feedback from people 😂😂,,
116,,,,,,,,,,,
117,,,,,,,,,,,
118,,,,,,,,,,,
119,,,,,,,,,,,
120,,,,,,,,,Good service,,
121,,,,,,,,,,,
122,,,,,,,,,,,
123,,,,,,,,Don't employ that are so hard to deal with they put you in a really bad mood.  Not have to hold on forever.,Good rating,,
124,,,,,,,,,,,
125,,,,,,,,,,,
126,,,,,,,,,,,
127,,,,,,,,,,,
128,,,,,,,,,,,
129,,,,,,,,Revisit your charges and start to care about clients that have been with you for years rather than the fickle ones who shift providers regularly,Coverage during cyclone was appalling. Since cyclone reception is not what it was. Ringing you is a nightmare...you are lucky spark is just as bad!,,
130,,,,,,,,,,,
131,,,,,,,,,,,
132,,,,,,,,,,,
133,,,,,,,,,,,
134,,,,,,,,,,,
135,,,,,,,,,,,
136,,,,,,,,,,,
137,,,,,,,,,,,
138,,,,,,,,,,,
139,,,,,,,,,,,
140,,,,,,,,,,,
141,,,,,,,,,,,
142,,,,,,,,,,,
143,,,,,,,,,,,
144,,,,,,,,,,,
145,,,,,,,,,,,
146,,,,,,,,,,,
147,,,,,,,,,,,
148,,,,,,,,,,,
149,,,,,,,,,,,
150,,,,,,,,,,,
151,,,,,,,,,,,
152,,,,,,,,,,,
153,,,,,,,,,,,
154,,,,,,,,,,,
155,,,,,,,,,,,
156,,,,,,,,,,,
157,,,,,,,,,,,
158,Data gets really slow when passed 80%. Like really slow. It’s horrible,,,,,,,,,I feel recently my data has been slow even though I’m above the 80%,Data gets really slow when passed 80%. Like really slow. It’s horrible
159,,,,,,,,,,,
160,,,,,,,,,,,
161,,,,,,,,,,,
162,,,,,,,,,,,
163,,,,,,,,,,,
164,,,,,,,,,,,
165,,,,,,,,,,,
166,,Issues with your mobile connection,,,,,,,,,
167,,,,,,,,,,,
168,,,,,,,,,,,
169,,,,,,,,,,,
170,,,,,,,,,,,
171,,,,,,,,"As Iv'e been a consistent monthly plan holder for the last 20 years , I think that loyalty should be rewarded . Those who are new customers seem to get reated better than the loyal ones. Just Saying.
Thanks John Wolfe.","Enjoying the service , have been a One NZ ( Vodafone) customer for over 20 years now.",,
172,,,,,,,,,,,
173,,,,,,,,,,,
174,,,,,,,,,,,
175,,,,,,,,Cheaper services,,,
176,,,,,,,,,,,
177,,,,,,,,,,,
178,,,,,,,,"You customer service is tribble! Call centres are all overseas and no one know anything about our case. Needing to ring multiple times to get one thing sorted…

Price increase for no real value… why are we paying for your rebranding…",,,
179,,,,,,,,Reception in some areas is a bit poor but ok overall,,,
180,,,,,,,,,,,
181,,,,,,,,,,,
182,,,,,,,,,,,
183,,,,,,,,,,,
184,,,,,,,,,,,
185,,,,,,,,More benefits for loyal customers,,,
186,,,,,,,,,,,
187,,,,,,,,,,,
188,,,,,,,,"For starters, don't address me as Unknown! Your email for this survey said ""Kia ora Unknown"" as the opening salutation. Doesn't make me feel valued as a customer. You need to improve your mail merge technology.",It's nothing to shout about.,,
189,,,,,,,,,,,
190,,,,,,,,,,,
191,,,,,,,,,"Great app, good service so far",,
192,,,,,,,,,,,
193,,,,,,,,,,,
194,,,,,,,,,,,
195,,,,,,,,,,,
196,,,,,,,,,,,
197,,,,,,,,Just cheaper data plan and services in some areas. I live in flatbush... I my house there is less network. Sometime network issue comes.,I started to use NZ one since I came to new zealand earlier it was nz Vodafone and now it's nz one. Even I bought up my Samsung galaxy s22 from nz one store which is in St lukes. I bought my and my wife's data plan from NZ one and it's giving us best service. Even I recommended nz one network to my friends as well.,,
198,,,,,,,,,,,
199,,,,,,,,,,,
200,,,,,,,,,,,
201,Don't like the logo! Too green too much like a TV channel,Issues with your mobile connection,,,,,,,,,Don't like the logo! Too green too much like a TV channel
202,,,,,,,,,,,
203,,,,,,,,,,,
204,,,,,,,,,,,
205,,,,,,,,,,,
206,,,,,,,,,,,
207,,,,,,,,,,,
208,,,,,,,,,,,
209,Faster Internet,Issues with your broadband connection,,,,,,,,Awesome,Faster Internet
210,,,,,,,,,,,
211,,,,,,,,,,,
212,,,,,,,,,,,
213,,,,,,,,,,,
214,,,,,,,,,,,
215,,,,,,,,,,,
216,,,,,,,,,,,
217,,,,,,,,,,,
218,,,,,,,,,,,
219,,,,,,,,,,,
220,,,,,,,,,,,
221,,,,,,,,,,,
222,Mobile date coverage should expand .. there are some place here at NZ that the mobile data coverage is so weak,,,,,,,,,My ratings ia all about my own experience using One NZ mobile plan😉,Mobile date coverage should expand .. there are some place here at NZ that the mobile data coverage is so weak
