Column name,Is useful,is NPS question,open text fields
"NZ_EPISODIC_LIFE_CYCLE_EVENT_ID_IDX,",1,,
"NZ_EPISODIC_CUSTOMER_SOURCE_ID_IDX,",1,,
"NZ_EPISODIC_BILLING_ACCOUNT_SOURCE_ID_IDX,",1,,
"NZ_EPISODIC_SERVICE_SOURCE_ID_TXT,",,,
"NZ_EPISODIC_D_SERVICE_KEY_TXT,",,,
"NZ_EPISODIC_D_CUSTOMER_KEY_TXT,",,,
"NZ_EPISODIC_D_BILLING_ACCOUNT_KEY_TXT,",,,
"SURVEYID,",1,,
"SURVEY_STATUS_DISPLAY,",,,
"NZ_EPISODIC_SURVEY_CATEGORY_ALT,",1,,
"NZ_EPISODIC_SURVEY_DISPLAY_NAME_ALT,",,,
"NZ_EPISODIC_EXTRACT_DATE_TIME_DT,",,,
"NZ_CREATIONDATE_73_DT,",,,
"NZ_RESPONSEDATE_73_DT,",1,,
"NZ_REMINDEDDATE_73_DT,",,,
"NZ_CANCEL_CANCEL_CHANGE_OF_ADDRESS_ALT,",,,
"NZ_CANCEL_COMPANION_MOVING_SEPARATE_PLAN_ALT,",,,
"NZ_CANCEL_CSAT_REASON_CMT,",,,
"NZ_CANCEL_CSAT_SCORE_SCALE,",,,
"NZ_CANCEL_IMPORTANT_IMPROVEMENT_CMT,",,,
"NZ_CANCEL_LIKELY_TO_RECOMMEND_SCALE,",,,
"NZ_CANCEL_NEW_PROVIDER_ALT,",,,
"NZ_CANCEL_NEW_PROVIDER_BROADBAND_ALT,",,,
"NZ_CANCEL_NEW_PROVIDER_BROADBAND_CMT,",,,
"NZ_CANCEL_NEW_PROVIDER_BROADBAND_OTHER_ALT,",,,
"NZ_CANCEL_NEW_PROVIDER_MOBILE_ALT,",,,
"NZ_CANCEL_NEW_PROVIDER_MOBILE_CMT,",,,
"NZ_CANCEL_NEW_PROVIDER_MOBILE_OTHER_ALT,",,,
"NZ_CANCEL_REASON_CANCEL_CMT,",,,
"NZ_CANCEL_REL_LIKELY_TO_RECOMMEND_SCALE,",,,
"NZ_CANCEL_SAT_COMMUNICATION_ABOUT_YOUR_CANCELLATION_SCALE,",,,
"NZ_CANCEL_SAT_GETTING_HELP_OR_SUPPORT_SCALE,",,,
"NZ_CANCEL_SAT_STAFF_HELPFULNESS_SCALE,",,,
"NZ_CANCEL_SAT_THE_EASE_OF_CANCELLING_SCALE,",,,
"NZ_CHANGE_BUY_GETTING_HELP_OR_SUPPORT_SCALE,",,,
"NZ_CHANGE_BUY_NAVIGATING_THE_ONE_NZ_WEBSITE_SCALE,",,,
"NZ_CHANGE_BUY_STAFF_HELPFULNESS_SCALE,",,,
"NZ_CHANGE_BUY_THE_EASE_OF_CHANGING_YOUR_CONTRACT_SCALE,",,,
"NZ_CHANGE_BUY_THE_PAYMENT_OPTIONS_AVAILABLE_SCALE,",,,
"NZ_CHANGE_BUY_THE_TIME_TAKEN_TO_MAKE_THE_CHANGE_SCALE,",,,
"NZ_CHANGE_CHOOSE_GETTING_HELP_OR_SUPPORT_SCALE,",,,
"NZ_CHANGE_CHOOSE_STAFF_HELPFULNESS_SCALE,",,,
"NZ_CHANGE_CHOOSE_THE_EASE_OF_COMPARING_OPTIONS_SCALE,",,,
"NZ_CHANGE_CHOOSE_THE_OPTIONS_AVAILABLE_TO_SUIT_YOU_SCALE,",,,
"NZ_CHANGE_CHOOSE_THE_USEFULNESS_OF_INFORMATION_SCALE,",,,
"NZ_CHANGE_CHOOSE_TRADING_IN_YOUR_OLD_PHONE_SCALE,",,,
"NZ_CHANGE_IMPORTANT_IMPROVEMENT_CMT,",1,,improvement
"NZ_CHANGE_MANAGE_COMMUNICATION_ABOUT_YOUR_CHANGE_SCALE,",,,
"NZ_CHANGE_MANAGE_THE_EASE_OF_MAKING_YOUR_CHANGE_SCALE,",,,
"NZ_CHANGE_MANAGE_THE_WAYS_OF_CONTACTING_ONE_NZ_SCALE,",,,
"NZ_CHANGE_NPS_SCALE,",1,Change NPS,
"NZ_CHANGE_OPERATE_THE_QUALITY_OF_YOUR_WI_FI_SIGNAL_SCALE,",,,
"NZ_CHANGE_OPERATE_THE_RELIABILITY_OF_ONE_NZ_BROADBAND_SCALE,",,,
"NZ_CHANGE_OPERATE_THE_SPEED_OF_ONE_NZ_BROADBAND_SCALE,",,,
"NZ_CHANGE_OVERALL_SATISFACTION_REASON_CMT,",1,,why did you give that rating?
"NZ_CHANGE_OVERALL_SATISFACTION_SCALE,",1,,
"NZ_CHANGE_REASON_CHANGE_CMT,",,,
"NZ_CHANGE_SETUP_EASE_OF_GETTING_SET_UP_AND_ONLINE_SCALE,",,,
"NZ_CHANGE_SETUP_GETTING_HELP_OR_SUPPORT_SCALE,",,,
"NZ_CHANGE_SETUP_THE_EASE_OF_CONFIRMING_YOUR_MOVE_SCALE,",,,
"NZ_CHANGE_SETUP_THE_QUALITY_OF_YOUR_INSTALLATION_SCALE,",,,
"NZ_CHANGE_SETUP_UPDATES_FROM_THE_TECHNICIAN_SCALE,",,,
"NZ_CHANGE_SETUP_UPDATES_ON_GETTING_YOU_CONNECTED_SCALE,",,,
"NZ_CHANGE_SETUP_UPDATES_ON_YOUR_MODEM_DELIVERY_SCALE,",,,
"NZ_JOIN_BUY_GETTING_HELP_OR_SUPPORT_SCALE,",,,
"NZ_JOIN_BUY_NAVIGATING_THE_ONE_NZ_WEBSITE_SCALE,",,,
"NZ_JOIN_BUY_STAFF_HELPFULNESS_SCALE,",,,
"NZ_JOIN_BUY_THE_EASE_OF_SIGNING_UP_FOR_YOUR_PLAN_SCALE,",,,
"NZ_JOIN_BUY_THE_PAYMENT_OPTIONS_AVAILABLE_SCALE,",,,
"NZ_JOIN_BUY_THE_TIME_TAKEN_TO_SIGN_UP_SCALE,",,,
"NZ_JOIN_BUY_TRADING_IN_YOUR_OLD_PHONE_SCALE,",,,
"NZ_JOIN_CHOOSE_GETTING_HELP_OR_SUPPORT_SCALE,",,,
"NZ_JOIN_CHOOSE_STAFF_HELPFULNESS_SCALE,",,,
"NZ_JOIN_CHOOSE_THE_EASE_OF_COMPARING_PLANS_SCALE,",,,
"NZ_JOIN_CHOOSE_THE_OPTIONS_AVAILABLE_SCALE,",,,
"NZ_JOIN_CHOOSE_THE_USEFULNESS_OF_INFORMATION_SCALE,",,,
