,NZ_EPISODIC_LIFE_CYCLE_EVENT_ID_IDX,NZ_EPISODIC_CUSTOMER_SOURCE_ID_IDX,NZ_EPISODIC_BILLING_ACCOUNT_SOURCE_ID_IDX,NZ_EPISODIC_SERVICE_SOURCE_ID_TXT,NZ_EPISODIC_D_SERVICE_KEY_TXT,NZ_EPISODIC_D_CUSTOMER_KEY_TXT,NZ_EPISODIC_D_BILLING_ACCOUNT_KEY_TXT,SURVEYID,SURVEY_STATUS_DISPLAY,NZ_EPISODIC_SURVEY_CATEGORY_ALT,NZ_EPISODIC_SURVEY_DISPLAY_NAME_ALT,NZ_EPISODIC_EXTRACT_DATE_TIME_DT,NZ_CREATIONDATE_73_DT,NZ_RESPONSEDATE_73_DT,NZ_REMINDEDDATE_73_DT,NZ_CANCEL_CANCEL_CHANGE_OF_ADDRESS_ALT,NZ_CANCEL_COMPANION_MOVING_SEPARATE_PLAN_ALT,NZ_CANCEL_CSAT_REASON_CMT,NZ_CANCEL_CSAT_SCORE_SCALE,NZ_CANCEL_IMPORTANT_IMPROVEMENT_CMT,NZ_CANCEL_LIKELY_TO_RECOMMEND_SCALE,NZ_CANCEL_NEW_PROVIDER_ALT,NZ_CANCEL_NEW_PROVIDER_BROADBAND_ALT,NZ_CANCEL_NEW_PROVIDER_BROADBAND_CMT,NZ_CANCEL_NEW_PROVIDER_BROADBAND_OTHER_ALT,NZ_CANCEL_NEW_PROVIDER_MOBILE_ALT,NZ_CANCEL_NEW_PROVIDER_MOBILE_CMT,NZ_CANCEL_NEW_PROVIDER_MOBILE_OTHER_ALT,NZ_CANCEL_REASON_CANCEL_CMT,NZ_CANCEL_REL_LIKELY_TO_RECOMMEND_SCALE,NZ_CANCEL_SAT_COMMUNICATION_ABOUT_YOUR_CANCELLATION_SCALE,NZ_CANCEL_SAT_GETTING_HELP_OR_SUPPORT_SCALE,NZ_CANCEL_SAT_STAFF_HELPFULNESS_SCALE,NZ_CANCEL_SAT_THE_EASE_OF_CANCELLING_SCALE,NZ_CHANGE_BUY_GETTING_HELP_OR_SUPPORT_SCALE,NZ_CHANGE_BUY_NAVIGATING_THE_ONE_NZ_WEBSITE_SCALE,NZ_CHANGE_BUY_STAFF_HELPFULNESS_SCALE,NZ_CHANGE_BUY_THE_EASE_OF_CHANGING_YOUR_CONTRACT_SCALE,NZ_CHANGE_BUY_THE_PAYMENT_OPTIONS_AVAILABLE_SCALE,NZ_CHANGE_BUY_THE_TIME_TAKEN_TO_MAKE_THE_CHANGE_SCALE,NZ_CHANGE_CHOOSE_GETTING_HELP_OR_SUPPORT_SCALE,NZ_CHANGE_CHOOSE_STAFF_HELPFULNESS_SCALE,NZ_CHANGE_CHOOSE_THE_EASE_OF_COMPARING_OPTIONS_SCALE,NZ_CHANGE_CHOOSE_THE_OPTIONS_AVAILABLE_TO_SUIT_YOU_SCALE,NZ_CHANGE_CHOOSE_THE_USEFULNESS_OF_INFORMATION_SCALE,NZ_CHANGE_CHOOSE_TRADING_IN_YOUR_OLD_PHONE_SCALE,NZ_CHANGE_IMPORTANT_IMPROVEMENT_CMT,NZ_CHANGE_MANAGE_COMMUNICATION_ABOUT_YOUR_CHANGE_SCALE,NZ_CHANGE_MANAGE_THE_EASE_OF_MAKING_YOUR_CHANGE_SCALE,NZ_CHANGE_MANAGE_THE_WAYS_OF_CONTACTING_ONE_NZ_SCALE,NZ_CHANGE_NPS_SCALE,NZ_CHANGE_OPERATE_THE_QUALITY_OF_YOUR_WI_FI_SIGNAL_SCALE,NZ_CHANGE_OPERATE_THE_RELIABILITY_OF_ONE_NZ_BROADBAND_SCALE,NZ_CHANGE_OPERATE_THE_SPEED_OF_ONE_NZ_BROADBAND_SCALE,NZ_CHANGE_OVERALL_SATISFACTION_REASON_CMT,NZ_CHANGE_OVERALL_SATISFACTION_SCALE,NZ_CHANGE_REASON_CHANGE_CMT,NZ_CHANGE_SETUP_EASE_OF_GETTING_SET_UP_AND_ONLINE_SCALE,NZ_CHANGE_SETUP_GETTING_HELP_OR_SUPPORT_SCALE,NZ_CHANGE_SETUP_THE_EASE_OF_CONFIRMING_YOUR_MOVE_SCALE,NZ_CHANGE_SETUP_THE_QUALITY_OF_YOUR_INSTALLATION_SCALE,NZ_CHANGE_SETUP_UPDATES_FROM_THE_TECHNICIAN_SCALE,NZ_CHANGE_SETUP_UPDATES_ON_GETTING_YOU_CONNECTED_SCALE,NZ_CHANGE_SETUP_UPDATES_ON_YOUR_MODEM_DELIVERY_SCALE,NZ_JOIN_BUY_GETTING_HELP_OR_SUPPORT_SCALE,NZ_JOIN_BUY_NAVIGATING_THE_ONE_NZ_WEBSITE_SCALE,NZ_JOIN_BUY_STAFF_HELPFULNESS_SCALE,NZ_JOIN_BUY_THE_EASE_OF_SIGNING_UP_FOR_YOUR_PLAN_SCALE,NZ_JOIN_BUY_THE_PAYMENT_OPTIONS_AVAILABLE_SCALE,NZ_JOIN_BUY_THE_TIME_TAKEN_TO_SIGN_UP_SCALE,NZ_JOIN_BUY_TRADING_IN_YOUR_OLD_PHONE_SCALE,NZ_JOIN_CHOOSE_GETTING_HELP_OR_SUPPORT_SCALE,NZ_JOIN_CHOOSE_STAFF_HELPFULNESS_SCALE,NZ_JOIN_CHOOSE_THE_EASE_OF_COMPARING_PLANS_SCALE,NZ_JOIN_CHOOSE_THE_OPTIONS_AVAILABLE_SCALE,NZ_JOIN_CHOOSE_THE_USEFULNESS_OF_INFORMATION_SCALE,NZ_JOIN_GENERAL_ACCESSING_ACCOUNT_AND_BILLING_SCALE,NZ_JOIN_GENERAL_ACTIVATING_AND_GETTING_CONNECTED_SCALE,NZ_JOIN_GENERAL_CHOOSING_A_PLAN_SCALE,NZ_JOIN_GENERAL_CHOOSING_YOUR_PHONE_TABLET_SCALE,NZ_JOIN_GENERAL_LIKELY_TO_RECOMMEND_SCALE,NZ_JOIN_GENERAL_SATISFACTION_REASON_CMT,NZ_JOIN_GENERAL_SIGNING_UP_FOR_YOUR_PLAN_SCALE,NZ_JOIN_GENERAL_THE_OVERALL_EXPERIENCE_SCALE,NZ_JOIN_IMPORTANT_IMPROVEMENT_CMT,NZ_JOIN_SETUP_DOWNLOADING_AND_SET_UP_IN_THE_APP_SCALE,NZ_JOIN_SETUP_GETTING_HELP_OR_SUPPORT_SCALE,NZ_JOIN_SETUP_THE_EASE_OF_MAKING_YOUR_FIRST_PAYMENT_SCALE,NZ_JOIN_SETUP_THE_EASE_OF_UNDERSTANDING_FIRST_BILL_SCALE,NZ_JOIN_SETUP_VIEWING_USAGE_INFORMATION_SCALE,NZ_JOIN_STARTED_BROADBAND_WORKING_TIMEFRAME_ALT,NZ_JOIN_STARTED_EASE_OF_GETTING_SET_UP_AND_ONLINE_SCALE,NZ_JOIN_STARTED_EASE_OF_TRANSFERRING_YOUR_PHONE_NO_SCALE,NZ_JOIN_STARTED_GETTING_HELP_OR_SUPPORT_SCALE,NZ_JOIN_STARTED_OUR_UPDATES_ON_GETTING_YOU_CONNECTED_SCALE,NZ_JOIN_STARTED_THE_QUALITY_OF_YOUR_INSTALLATION_SCALE,NZ_JOIN_STARTED_UPDATES_FROM_THE_TECHNICIAN_SCALE,NZ_JOIN_STARTED_UPDATES_ON_YOUR_DELIVERY_SCALE,NZ_RELATIONSHIP_BROADBAND_RETENTION_ALT,NZ_RELATIONSHIP_CX_I_CONNECT_WITH_ONE_NZ_VALUES_SCALE,NZ_RELATIONSHIP_CX_I_FEEL_IN_CONTROL_SCALE,NZ_RELATIONSHIP_CX_IT_CLEAR_WHAT_TO_EXPECT_SCALE,NZ_RELATIONSHIP_CX_LET_ME_ENJOY_LIFE_MORE_SCALE,NZ_RELATIONSHIP_CX_ONE_NZ_MAKES_ME_FEEL_VALUED_SCALE,NZ_RELATIONSHIP_CX_ONE_NZ_TREATS_ME_FAIRLY_SCALE,NZ_RELATIONSHIP_GENERAL_APPROACH_TO_SUSTAINABILITY_SCALE,NZ_RELATIONSHIP_GENERAL_GETTING_ACCOUNT_OR_SUPPORT_SCALE,NZ_RELATIONSHIP_GENERAL_ONE_NZ_MOBILE_NETWORK_SCALE,NZ_RELATIONSHIP_GENERAL_ONE_NZ_PRODUCT_AND_PLAN_SCALE,NZ_RELATIONSHIP_GENERAL_RECEIVING_AND_PAYING_BILL_SCALE,NZ_RELATIONSHIP_GENERAL_THE_ONE_NZ_APP_WEBSITE_SCALE,NZ_RELATIONSHIP_GENERAL_THE_ONE_NZ_REWARDS_SCALE,NZ_RELATIONSHIP_GENERAL_THE_VALUE_FOR_MONEY_SCALE,NZ_RELATIONSHIP_GENERAL_YOUR_ONE_NZ_BROADBAND_SCALE,NZ_RELATIONSHIP_IMPORTANT_IMPROVEMENT_CMT,NZ_RELATIONSHIP_MOBILE_RETENTION_ALT,NZ_RELATIONSHIP_NPS_REASON_CMT,NZ_RELATIONSHIP_NPS_SCALE,NZ_RELATIONSHIP_OVERALL_SATISFACTION_SCALE,NZ_USE_CSAT_ONE_NZ_MOBILE_NETWORK_SCALE,NZ_USE_CSAT_REASON_CMT,NZ_USE_CSAT_THE_BILLING_AND_PAYMENT_PROCESS_SCALE,NZ_USE_CSAT_THE_COMMUNICATION_YOU_RECEIVE_SCALE,NZ_USE_CSAT_THE_MY_ONE_NZ_APP_SCALE,NZ_USE_CSAT_YOUR_HOME_BROADBAND_CONNECTION_SCALE,NZ_USE_CSAT_YOUR_PLAN_OVERALL_SCALE,NZ_USE_HELP_STAFF_HELPFULNESS_SCALE,NZ_USE_HELP_STAFF_KNOWLEDGE_SCALE,NZ_USE_HELP_THE_EASE_OF_FINDING_THE_INFORMATION_SCALE,NZ_USE_HELP_THE_SOLUTION_OR_OUTCOME_TO_YOUR_ISSUE_SCALE,NZ_USE_HELP_THE_TIME_TAKEN_TO_FIX_YOUR_ISSUE_SCALE,NZ_USE_IMPORTANT_IMPROVEMENT_CMT,NZ_USE_LAST_RECEIVED_HELP_ALT,NZ_USE_MANAGE_ACCESSING_USAGE_INFORMATION_SCALE,NZ_USE_MANAGE_NOTIFICATIONS_ON_OUTAGES_SCALE,NZ_USE_MANAGE_NOTIFICATIONS_ON_UNEXPECTED_CHARGES_SCALE,NZ_USE_NPS_HELP_RECEIVED_SCALE,NZ_USE_NPS_SCALE,NZ_USE_OPERATE_THE_COVERAGE_OF_MOBILE_NETWORK_SCALE,NZ_USE_OPERATE_THE_DATA_SPEED_ON_ONE_NZ_NETWORK_SCALE,NZ_USE_OPERATE_THE_QUALITY_OF_CALLS_MADE_ON_ONE_NZ_SCALE,NZ_USE_OPERATE_THE_QUALITY_OF_YOUR_WI_FI_SIGNAL_SCALE,NZ_USE_OPERATE_THE_RELIABILITY_OF_ONE_NZ_BROADBAND_SCALE,NZ_USE_OPERATE_THE_SPEED_OF_ONE_NZ_BROADBAND_SCALE,NZ_USE_PAY_THE_ACCURACY_OF_YOUR_BILL_SCALE,NZ_USE_PAY_THE_EASE_OF_UNDERSTANDING_YOUR_BILL_SCALE,NZ_USE_PAY_THE_PAYMENT_OPTIONS_SCALE,NZ_USE_QUERY_HELP_CHANNEL_ALT,NZ_USE_QUERY_RESOLVED_ALT,NZ_USE_QUERY_SATISFACTION_SCALE,NZ_USE_QUERY_TOPIC_ALT,NZ_USE_QUERY_TOPIC_OTHER_TXT
6,92023051800690133,1-1353M1CU,1-13541OQH,1-1354ANR2,a5e000aaece3505de11d9c4ad16c4667,313368aa94afd7e91a51f6466d473499,ad606c4abe02af2675581dd9b1054e0c,19687580,Completed,Relationship,mobile Pay Monthly,2023-05-17 18:13:08,2023-05-22 13:35:40,2023-05-23 16:00:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,7,7,7,7,8,N/A,7,8,8,9,7,N/A,9,,,1,Never had any issue as and usually get good service,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,92023051800863586,1-P1791ET,1-P1791G0,1-11POETTX,f043438e3e689ce3cf7c52a5d1368c7e,a792d047d5423ce457047f15ed66c1d6,77a92e6732817f3426bacbd87b3b8bd0,19684760,Completed,Relationship,mobile Pay Monthly,2023-05-17 18:13:08,2023-05-22 13:35:40,2023-05-22 20:45:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,9,9,8,9,9,9,9,8,7,10,10,10,N/A,10,10,Sometimes hard to understand an operator when talking to them found it easier going into a store,5,,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,92023051800941600,1-7OVB-1410,1-7OYF-1868,1-71UKB2C,1928cae4f9f8ff90373eda6c59fc1e6d,ac1107175028b87cd8e0feba32b2f3d7,f804c457d77c6f2fbd9e1f6c38f4ebbc,19688076,Completed,Relationship,mobile Pay Monthly,2023-05-17 18:13:08,2023-05-22 13:35:40,2023-05-26 14:04:01,2023-05-26 13:39:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,N/A,N/A,4,N/A,5,5,5,5,,I live semi-rural and cellphone coverage is really patchy. When we have power cuts that's it. Can't use internet on phone so go old school with battery radio to find out what's going on. Not really a One problem but it's an issue that really affects people in the country.,5,I have had no issues with One and having been with them (and their iterations) from year dot I am very brand loyal.,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,92023051900153633,1-MFWSYY8,1-MFY0XRJ,1-VYDHRBD,59cda1f4e7c3f2f32b8ecab2ed5ea3e8,051ddc689fbaedb66a296b4355f79acd,3a298dfaf815c116889a7050723b32d7,19681390,Completed,Relationship,mobile Pay Monthly,2023-05-18 18:01:53,2023-05-22 13:34:51,2023-05-22 14:03:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,4,4,4,5,4,3,7,4,4,3,1,6,,Make a better/cheaper plan,3,Your quite Expensive,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,92023051900175860,1-7PO2-1694,1-7PPK-1885,1-ULGZ0E3,98e88abfbc8add6c0c386cf07d095ef0,20e7eb4794f5c831a0fd40be6e4674e1,cc2bf417847d69a76ffd6117710f9141,19681377,Completed,Relationship,mobile Pay Monthly,2023-05-18 18:01:53,2023-05-22 13:34:51,2023-05-22 14:35:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,6,5,5,5,N/A,N/A,8,4,8,6,N/A,5,,Better priced plans,2,Seem a little more expensive than competitors,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,92023051900195580,1-699OYTZ,1-F7YU4MR,1-YP2M5GQ,23301e0430b77a6a276c7852efadec5b,763fd07ede048d207bac5d1e9f2c1718,33b2aa2b73d2bd008a883aab248402f7,19682844,Completed,Relationship,mobile Pay Monthly,2023-05-18 18:01:53,2023-05-22 13:34:51,2023-05-22 13:43:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,5,5,5,5,5,5,6,6,7,6,6,5,N/A,6,7,,99,,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,92023051900618737,1-Y9CGW6R,1-Y9CGZY1,1-Y9CJ95A,0383b204c28d94809d07e4f859a0152f,2d57978193a9744094ebdc15320cc54a,1468cddf1861858a14f21cc3fc419f51,19681869,Completed,Relationship,mobile Pay Monthly,2023-05-18 18:01:53,2023-05-22 13:34:51,2023-05-27 12:20:53,2023-05-26 13:38:32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,10,10,10,10,10,8,10,10,10,10,10,,Just coverage in some place I go isn't the best but I understand that this will be fixed next year,1,"Always been wth Vodafone,best service and best prices.",10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,92023051901091219,1-RLR7DJC,1-RLRAL6L,1-TOPNQSW,f3a8108e923a20a2edc9a0eda0fcb126,1279eff2fb39879bdcfc0e360ef1a794,614ad294142fcf50652792274ab799ae,19682355,Completed,Relationship,mobile Pay Monthly,2023-05-18 18:01:53,2023-05-22 13:34:51,2023-05-26 13:53:27,2023-05-26 13:39:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,I am happy with every service provided by one.nz.As a customer I'm looked after very well. If i have any concerns then it is very well solved. I feel very welcoming if I call to discuss about late bills. As my personal experience i haven't had any issues and I will try my level best to be a good customer. I enjoy the rewards and new offers by one.nz.I wish one nz all the best and keep up the great work 👍,5,Very helpful whenever I call and ask for help .Staff really understands the needs of the customers and really try to go out of their way to solve the problems. Very much understanding and lots of patience for listening to customer. Thanks for the great service 😀,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,92023051901100946,1-6GPFDCO,1-IQEL4ZX,1-UPW2V6Z,f70e1cea1b2a874b23a8a9c299e2443b,3ee6137d1905cb3574e9e53dea0c9f9b,8b3a5119f65cd51ed82a2b5c1f432c5c,19682180,Completed,Relationship,mobile Pay Monthly,2023-05-18 18:01:53,2023-05-22 13:34:51,2023-05-27 10:14:49,2023-05-26 13:38:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,2,2,2,1,2,2,3,2,2,2,2,2,2,"I want you to improve the WiFi environment. Confirmation of our contract details, resolution of double payment for broadband from October to March of last year, which has not been refunded.",3,"Before I knew it, I had two WiFi contracts, or the payment was not refunded.",3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,92023052000032019,1-O0XBNDW,1-O0XBNHW,1-14FRI3HD,6c1032b675e082c25d75bbe20ef76864,e8d4249c9f2f5daecaad640a3bf5ad2a,fecbbf7252b35b9f2f25d7155c45cd48,19730386,Completed,Relationship,mobile Pay Monthly,2023-05-19 18:01:41,2023-05-22 16:53:09,2023-05-26 18:50:34,2023-05-26 17:01:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,8,8,10,10,8,10,10,6,10,10,10,10,10,10,10,Following up on issues to make sure it’s been sorted,5,I’ve never had any issues,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,92023052000091661,1-WJKCID5,1-WJKF4IA,1-WJKK9M4,e6362461b7eadd8aaeb971db720211bd,2f2fb40070b71e3473c256e45f43ff38,508ed0e529408e17e9eb463fa8839761,19730749,Completed,Relationship,mobile Pay Monthly,2023-05-19 18:01:41,2023-05-22 16:53:09,2023-05-23 15:33:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,6,5,10,7,8,5,8,10,,Unsure I'm still learning about your service,1,At the moment I'm still learning about it,8,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,92023052000371469,1-A2FSE1X,1-A2FSE5X,1-ARD66ZC,85c9583d2ff2cbe359e470858ae090ff,1ade2d944726e291493b92b7a63809f9,ddb83e56e438b9b6fa76f86845019a91,19733516,Completed,Relationship,mobile Pay Monthly,2023-05-19 18:01:41,2023-05-22 16:53:09,2023-05-23 07:39:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,N/A,N/A,8,N/A,8,8,N/A,N/A,10,N/A,7,N/A,N/A,7,7,"You're way ahead of me, I use my phone for text and telephone, so am not really a high user",5,I don't tell people how to spend their money. I'm happy with the service from One,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,92023052000394355,1-7NNA-228,1-7NPM-5626,1-11XVU8NK,9feab92cbbc40ce496e53d0cdd214d6e,75792b5c0879dd137269e95e297734df,ac483557622400fa3089daf3bb624e4e,19730058,Completed,Relationship,mobile Pay Monthly,2023-05-19 18:01:41,2023-05-22 16:53:09,2023-05-23 20:36:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,N/A,8,7,8,6,7,N/A,6,8,8,8,7,N/A,7,8,Offer lower cost plans/packages.,4,,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,92023052000558714,1-VOVR2GL,1-VOW2OVB,1-115BIVYQ,1f5da08fa9e6f653f9e9ad685f21189a,19b2d0d9d73a40b9bfed91e488ed3938,1279f114122faecfbd69d58dd1c55ac3,19732175,Completed,Relationship,mobile Pay Monthly,2023-05-19 18:01:41,2023-05-22 16:53:09,2023-05-22 17:40:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,7,7,5,6,6,5,7,8,5,7,5,5,6,9,Cost,4,I find it good but some people want different options,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,92023052000625920,1-7MAJ-2079,1-7MBK-5886,1-C5DSJYJ,c9bf76afae13fc22d8063cb65b548da8,008cf9d07c15d545fc013ff30a3a4a1a,0efb9a4f54ae123d303dffb82a336ec7,19733572,Completed,Relationship,mobile Pay Monthly,2023-05-19 18:01:41,2023-05-22 16:53:09,2023-05-26 21:07:53,2023-05-26 17:03:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,6,5,5,5,5,6,,Cheaper rates,4,,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
